sample,mean_COI,median_COI,sd_COI,Quartile_0.025,Quartile_0.975,,region,country
PA0091-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0092-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0093-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0094-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0095-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0097-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0098-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0099-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0100-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0101-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0102-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0103-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0105-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0134-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0136-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0137-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0138-C,5,5,0,5,5,Ploidy2,West Africa,Guinea
PA0140-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0141-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0143-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0144-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0145-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0146-C,4,4,0,4,4,Ploidy2,West Africa,Guinea
PA0147-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0148-C,1,1,0.48888,1,2,Ploidy2,West Africa,Guinea
PA0149-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0150-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0151-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0152-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0153-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0154-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0155-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0156-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0157-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0158-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0159-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0160-C,3,3,0.49152,3,4,Ploidy2,West Africa,Guinea
PA0161-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0162-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0163-C,2,2,0.33757,2,3,Ploidy2,West Africa,Guinea
PA0164-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0165-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0166-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0167-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0168-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0169-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0170-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0171-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0172-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0173-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0174-C,1,1,0.44022,1,2,Ploidy2,West Africa,Guinea
PA0175-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0176-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0177-C,2,2,0.49208,1,2,Ploidy2,West Africa,Guinea
PA0178-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0179-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0180-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0181-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0182-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0183-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0184-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0185-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0186-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0187-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0188-C,1,1,0.32629,1,2,Ploidy2,West Africa,Guinea
PA0189-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0190-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
